KEY;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;X
dynamic-afghani-culture-num1;Badakhshan;Badakhshan;Badakhshan;Badakhshan;Badakhshan;Badakhshan;Badakhshan;Badakhshan;Badakhshan;Badakhshan;Badakhshan;Badakhshan;Badakhshan;x
dynamic-afghani-oghuz-culture-num1;Badakhshan-Oghuz;Badakhshan-Oghuz;Badakhshan-Oghuz;Badakhshan-Oghuz;Badakhshan-Oghuz;Badakhshan-Oghuz;Badakhshan-Oghuz;Badakhshan-Oghuz;Badakhshan-Oghuz;Badakhshan-Oghuz;Badakhshan-Oghuz;Badakhshan-Oghuz;Badakhshan-Oghuz;x
dynamic-afghani-panjabi-culture-num1;Afghan-Punjabi;Afghan-Punjabi;Afghan-Punjabi;Afghan-Punjabi;Afghan-Punjabi;Afghan-Punjabi;Afghan-Punjabi;Afghan-Punjabi;Afghan-Punjabi;Afghan-Punjabi;Afghan-Punjabi;Afghan-Punjabi;Afghan-Punjabi;x
dynamic-al_suryah_arabic-culture-num1;Badarayani;Badarayani;Badarayani;Badarayani;Badarayani;Badarayani;Badarayani;Badarayani;Badarayani;Badarayani;Badarayani;Badarayani;Badarayani;x
dynamic-al_suryah_arabic-culture-num2;Dausarian;Dausarian;Dausarian;Dausarian;Dausarian;Dausarian;Dausarian;Dausarian;Dausarian;Dausarian;Dausarian;Dausarian;Dausarian;x
dynamic-al_suryah_arabic-culture-num3;Dausarian-Philippopolisian;Dausarian-Philippopolisian;Dausarian-Philippopolisian;Dausarian-Philippopolisian;Dausarian-Philippopolisian;Dausarian-Philippopolisian;Dausarian-Philippopolisian;Dausarian-Philippopolisian;Dausarian-Philippopolisian;Dausarian-Philippopolisian;Dausarian-Philippopolisian;Dausarian-Philippopolisian;Dausarian-Philippopolisian;x
dynamic-amhara-somali-culture-num1;Somali-Ethiopian;Somali-Ethiopian;Somali-Ethiopian;Somali-Ethiopian;Somali-Ethiopian;Somali-Ethiopian;Somali-Ethiopian;Somali-Ethiopian;Somali-Ethiopian;Somali-Ethiopian;Somali-Ethiopian;Somali-Ethiopian;Somali-Ethiopian;x
dynamic-andalucian-culture-num1;Andaluso-Baranis;Andaluso-Baranis;Andaluso-Baranis;Andaluso-Baranis;Andaluso-Baranis;Andaluso-Baranis;Andaluso-Baranis;Andaluso-Baranis;Andaluso-Baranis;Andaluso-Baranis;Andaluso-Baranis;Andaluso-Baranis;Andaluso-Baranis;x
dynamic-andalucian-culture-num2;Tulaytulah;Tulaytulah;Tulaytulah;Tulaytulah;Tulaytulah;Tulaytulah;Tulaytulah;Tulaytulah;Tulaytulah;Tulaytulah;Tulaytulah;Tulaytulah;Tulaytulah;x
dynamic-armenian-culture-num1;Aintabian;Aintabian;Aintabian;Aintabian;Aintabian;Aintabian;Aintabian;Aintabian;Aintabian;Aintabian;Aintabian;Aintabian;Aintabian;x
