PROV29;Davaee Kee Topee;Davaee Kee Topee;Davaee Kee Topee;Davaee Kee Topee;Davaee Kee Topee;Davaee Kee Topee;Davaee Kee Topee;Davaee Kee Topee;Davaee Kee Topee;Davaee Kee Topee;Davaee Kee Topee;Davaee Kee Topee;Davaee Kee Topee;x
PROV64;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;x
PROV263;Difelin;Difelin;Difelin;Difelin;Difelin;Difelin;Difelin;Difelin;Difelin;Difelin;Difelin;Difelin;Difelin;x
PROV298;Baðan;Baðan;Baðan;Baðan;Baðan;Baðan;Baðan;Baðan;Baðan;Baðan;Baðan;Baðan;Baðan;x
PROV300;Lundenwic;Lundenwic;Lundenwic;Lundenwic;Lundenwic;Lundenwic;Lundenwic;Lundenwic;Lundenwic;Lundenwic;Lundenwic;Lundenwic;Lundenwic;x
PROV336;Uleåborg;Uleåborg;Uleåborg;Uleåborg;Uleåborg;Uleåborg;Uleåborg;Uleåborg;Uleåborg;Uleåborg;Uleåborg;Uleåborg;Uleåborg;x
PROV337;Kajana;Kajana;Kajana;Kajana;Kajana;Kajana;Kajana;Kajana;Kajana;Kajana;Kajana;Kajana;Kajana;x
PROV339;Vyborg;Vyborg;Vyborg;Vyborg;Vyborg;Vyborg;Vyborg;Vyborg;Vyborg;Vyborg;Vyborg;Vyborg;Vyborg;x
PROV343;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;x
PROV347;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;x
PROV367;Ålborg;Ålborg;Ålborg;Ålborg;Ålborg;Ålborg;Ålborg;Ålborg;Ålborg;Ålborg;Ålborg;Ålborg;Ålborg;x
PROV390;Anvers;Anvers;Anvers;Anvers;Anvers;Anvers;Anvers;Anvers;Anvers;Anvers;Anvers;Anvers;Anvers;x
PROV489;Tulaytulah;Tulaytulah;Tulaytulah;Tulaytulah;Tulaytulah;Tulaytulah;Tulaytulah;Tulaytulah;Tulaytulah;Tulaytulah;Tulaytulah;Tulaytulah;Tulaytulah;x
PROV493;Banbalûna;Banbalûna;Banbalûna;Banbalûna;Banbalûna;Banbalûna;Banbalûna;Banbalûna;Banbalûna;Banbalûna;Banbalûna;Banbalûna;Banbalûna;x
PROV503;Balansiyah;Balansiyah;Balansiyah;Balansiyah;Balansiyah;Balansiyah;Balansiyah;Balansiyah;Balansiyah;Balansiyah;Balansiyah;Balansiyah;Balansiyah;x
